X,Y,cat,ID,rues_ori,bati_ori
604018.9,130615.2,454,453,1.625599000000000,1.760072000000000
604193.9,130615.2,455,454,1.634012000000000,1.770364000000000
604368.9,130615.2,456,455,1.641533000000000,1.779058000000000
604543.9,130615.2,457,456,1.648248000000000,1.786475000000000
604718.9,130615.2,458,457,1.654297000000000,1.792882000000000
604893.9,130615.2,459,458,1.659769000000000,1.798455000000000
596143.9,130440.2,460,459,1.806296000000000,1.860479000000000
596318.9,130440.2,461,460,1.812120000000000,1.864852000000000
596493.9,130440.2,462,461,1.818197000000000,1.871305000000000
596668.9,130440.2,463,462,1.823997000000000,1.880918000000000
596843.9,130440.2,464,463,1.828537000000000,1.895703000000000
597018.9,130440.2,465,464,1.829869000000000,1.919629000000000
597193.9,130440.2,466,465,1.823429000000000,1.961495000000000
597368.9,130440.2,467,466,1.798279000000000,2.043130000000000
597543.9,130440.2,468,467,1.754993000000000,2.200130000000000
597718.9,130440.2,469,468,1.816482000000000,2.259706000000000
597893.9,130440.2,470,469,1.937868000000000,2.215742000000000
598068.9,130440.2,471,470,2.058116000000000,2.336573000000000
598243.9,130440.2,472,471,2.164024000000000,2.146817000000000
598418.9,130440.2,473,472,2.203872000000000,1.999914000000000
598593.9,130440.2,474,473,2.101173000000000,1.944576000000000
598768.9,130440.2,475,474,1.933179000000000,1.922657000000000
598943.9,130440.2,476,475,1.783474000000000,1.918520000000000
599118.9,130440.2,477,476,1.624564000000000,1.955614000000000
599293.9,130440.2,478,477,1.565881000000000,2.232939000000000
599468.9,130440.2,479,478,1.478058000000000,1.965010000000000
599643.9,130440.2,480,479,1.016553000000000,1.858624000000000
599818.9,130440.2,481,480,1.034639000000000,1.822652000000000
599993.9,130440.2,482,481,0.638577000000000,1.816636000000000
600168.9,130440.2,483,482,1.297662000000000,1.799495000000000
600343.9,130440.2,484,483,1.298586000000000,1.757140000000000
600518.9,130440.2,485,484,1.479302000000000,1.713046000000000
600693.9,130440.2,486,485,1.548202000000000,1.671584000000000
600868.9,130440.2,487,486,1.548234000000000,1.629999000000000
601043.9,130440.2,488,487,1.515579000000000,1.602889000000000
601218.9,130440.2,489,488,1.573303000000000,1.629637000000000
601393.9,130440.2,490,489,1.625686000000000,1.753285000000000
601568.9,130440.2,491,490,1.636434000000000,1.929400000000000
601743.9,130440.2,492,491,1.609817000000000,2.317758000000000
601918.9,130440.2,493,492,1.501146000000000,1.690809000000000
602093.9,130440.2,494,493,1.466541000000000,1.266196000000000
602268.9,130440.2,495,494,1.453571000000000,0.854501000000000
602443.9,130440.2,496,495,1.444971000000000,1.475742000000000
602618.9,130440.2,497,496,1.440584000000000,1.402326000000000
602793.9,130440.2,498,497,1.464116000000000,1.507747000000000
602968.9,130440.2,499,498,1.507133000000000,1.586100000000000
603143.9,130440.2,500,499,1.545130000000000,1.640671000000000
603318.9,130440.2,501,500,1.572138000000000,1.679414000000000
603493.9,130440.2,502,501,1.591305000000000,1.707831000000000
603668.9,130440.2,503,502,1.605856000000000,1.729402000000000
603843.9,130440.2,504,503,1.617708000000000,1.746254000000000
604018.9,130440.2,505,504,1.627768000000000,1.759763000000000
604193.9,130440.2,506,505,1.636532000000000,1.770814000000000
604368.9,130440.2,507,506,1.644258000000000,1.780003000000000
604543.9,130440.2,508,507,1.651123000000000,1.787758000000000
604718.9,130440.2,509,508,1.657237000000000,1.794367000000000
604893.9,130440.2,510,509,1.662707000000000,1.800061000000000
596143.9,130265.2,511,510,1.805938000000000,1.856568000000000
